episode,global_step,reward,steps,goal,actor_loss,critic_loss,entropy,alpha,replay_size,energy_level,min_collected_data,collected_data_sum
24,140089,-21517.0,4378,True,206.5130760144381,26.146364762642804,1.2588722203128477,8.376938819885254,140089,99652168.95293367,1063016990.941034,47835764592.34651
2,148547,-88376.0,4643,True,211.06657304613628,25.795979296725452,1.2708351719485036,9.521533966064453,148547,99800256.32223476,1063016990.941034,144570310767.9808
30,152415,-68649.0,4763,True,212.61455104181618,25.6864378445614,1.2761059677137911,10.082497596740723,152415,99650295.059006,3189050972.823102,184964956423.74014
5,159110,-98733.0,4973,True,214.5064305706813,25.60314932223813,1.2851624093865217,11.123741149902344,159110,9998355355.396894,1063016990.941034,64844036447.40307
0,159969,-89813.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159969,99528030.67380375,4252067963.764136,222170551106.67615
1,159970,-65640.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159970,99612525.70067503,0.0,66970070429.28512
3,159972,-89695.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159972,98358046.61692668,0.0,139255225813.2754
4,159973,-72385.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159973,98370585.23146336,0.0,180712888459.97623
6,159975,-73065.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159975,98364159.29464877,0.0,82915325293.40059
7,159976,-70440.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159976,99747489.0138087,0.0,66970070429.28508
8,159977,-66745.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159977,98362859.40330352,0.0,36142577691.99515
9,159978,-28300.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159978,98395096.35540994,1063016990.941034,32953526719.172043
10,159979,-51840.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159979,99815430.91039456,0.0,49961798574.22856
11,159980,-74495.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159980,98417295.38960396,0.0,112679801039.74951
12,159981,-72760.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159981,98421586.97351258,0.0,35079560701.05413
13,159982,-66325.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159982,99620584.93870163,0.0,76537223347.7544
14,159983,-73280.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159983,99756816.83786955,0.0,199847194296.91498
15,159984,-64160.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159984,98562325.1986386,0.0,126499021921.983
16,159985,-95730.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159985,99920145.4773038,0.0,65907053438.34408
17,159986,-47920.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159986,98392224.95920439,0.0,122246953958.21909
18,159987,-93390.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159987,98370287.48277055,0.0,192406075360.32758
19,159988,-74655.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159988,99898051.2290679,0.0,46772747601.40547
20,159989,-28035.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159989,98363293.24326545,0.0,14882237873.174477
21,159990,-73075.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159990,98377827.96113975,0.0,144570310767.98062
22,159991,-47990.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159991,98379050.54573359,0.0,83978342284.34169
23,159992,-47965.0,5000,False,214.67563085180015,25.595143308780465,1.2863132825369024,11.262907028198242,159992,98414819.72937557,0.0,34016543710.113094
