episode,global_step,reward,steps,goal,actor_loss,critic_loss,entropy,alpha,replay_size,energy_level,min_collected_data,collected_data_sum,boundary_hits,obstacle_hits
0,7985,-6293.597469572031,500,False,0.0,0.0,0.0,1.0,7985,99956617.67161195,0.0,12756203891.292408,51,44
1,7986,-7845.757833781881,500,False,0.0,0.0,0.0,1.0,7986,99885971.49088906,0.0,14882237873.174477,66,61
2,7987,-4413.751651703685,500,False,0.0,0.0,0.0,1.0,7987,9999834625.184088,0.0,25512407782.58482,23,43
3,7988,-4616.623289761923,500,False,0.0,0.0,0.0,1.0,7988,9999834653.762074,0.0,25512407782.584816,35,38
4,7989,-9856.853374505303,500,False,0.0,0.0,0.0,1.0,7989,99845550.64853525,0.0,18071288845.997578,85,74
5,7990,-7297.651846546878,500,False,0.0,0.0,0.0,1.0,7990,99874998.39680918,0.0,29764475746.348946,56,58
6,7991,-9803.964475037383,500,False,0.0,0.0,0.0,1.0,7991,99894741.63703747,0.0,15945254864.115513,67,79
7,7992,-7868.828591525244,500,False,0.0,0.0,0.0,1.0,7992,99930884.77734181,0.0,29764475746.348957,38,75
8,7993,-5754.037307055482,500,False,0.0,0.0,0.0,1.0,7993,99844573.01252003,0.0,29764475746.348953,30,53
9,7994,-6224.867371577877,500,False,0.0,0.0,0.0,1.0,7994,99857077.06466462,0.0,27638441764.46689,34,56
10,7995,-9264.193924017467,500,False,0.0,0.0,0.0,1.0,7995,9999834729.970036,0.0,8504135927.528273,104,46
11,7996,-8078.716943274143,500,False,0.0,0.0,0.0,1.0,7996,99882604.74288146,0.0,17008271855.056545,80,55
12,7997,-5988.544492679107,500,False,0.0,0.0,0.0,1.0,7997,99863820.086676,0.0,19134305836.938614,41,52
13,7998,-6281.696308235407,500,False,0.0,0.0,0.0,1.0,7998,99902028.45510215,0.0,26575424773.525856,45,49
14,7999,-5811.755277207439,500,False,0.0,0.0,0.0,1.0,7999,9999834739.49603,0.0,20197322827.879646,41,46
15,8000,-6596.07599281968,500,False,0.0,0.0,0.0,1.0,8000,99980781.50383261,0.0,22323356809.76171,53,44
16,15985,-9737.780432351308,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15985,9999833348.700724,0.0,3189050972.823102,139,27
17,15986,-8977.835517880641,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15986,9999833301.070747,0.0,7441118936.587238,90,50
18,15987,-6047.456453141364,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15987,9999833196.2848,0.0,7441118936.587238,80,23
19,15988,-12873.985728774422,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15988,99839924.6108893,0.0,4252067963.764136,49,133
20,15989,-9524.214645606467,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15989,9999833196.2848,0.0,0.0,74,63
21,15990,-13833.689164432926,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15990,9999833463.012667,0.0,1063016990.941034,20,161
22,15991,-7138.595481775752,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15991,99874208.5533954,0.0,7441118936.587238,105,15
23,15992,-12043.024969155045,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15992,99870802.88713276,0.0,9567152918.469305,59,122
24,15993,-11920.318667451364,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15993,99866053.2411366,0.0,3189050972.823102,85,96
25,15994,-10392.9782689749,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15994,9999833482.064657,0.0,4252067963.764136,137,37
26,15995,-12396.730217963255,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15995,9999833634.480581,0.0,12756203891.292408,72,110
27,15996,-8187.515921627914,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15996,99854765.78918234,0.0,12756203891.29241,130,12
28,15997,-10057.085386936262,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15997,9999833196.2848,0.0,1063016990.941034,122,42
29,15998,-9305.78848311369,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15998,9999833396.3307,0.0,1063016990.941034,132,26
30,15999,-8463.182518140193,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,15999,99874041.44132689,0.0,2126033981.882068,134,13
31,16000,-8970.782020119059,500,False,5.274331352872017,16.56441850980123,0.8757649207214514,0.8376287221908569,16000,9999833262.966766,0.0,3189050972.823102,124,26
32,23985,-1150.929739336229,500,False,28.797496218919754,8.82396720957756,0.2616676024347544,1.205568552017212,23985,9999830786.208,0.0,0.0,3,0
33,23986,-1376.8885438199982,500,False,28.797496218919754,8.82396720957756,0.2616676024347544,1.205568552017212,23986,9999830805.25999,0.0,0.0,3,3
34,23987,-1104.3960780543712,500,False,28.797496218919754,8.82396720957756,0.2616676024347544,1.205568552017212,23987,9999830767.15601,0.0,0.0,2,0
